symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-06 10:45:00,2026-04-06 11:10:00,1872.6,1865.1096,309,SL,-2314.5335999999716,155.7525655406416,-2470.286165540613,6
ADANIENT,long,2026-04-08 13:35:00,2026-04-08 15:15:00,2074.8,2074.5,309,TIME,-92.7000000000562,167.8362216178,-260.5362216178562,21
ADANIENT,long,2026-04-23 11:10:00,2026-04-23 11:15:00,2320.0,2310.72,309,SL,-2867.520000000062,181.68785221312,-3049.207852213182,2
ADANIENT,long,2026-05-04 14:15:00,2026-05-04 15:15:00,2511.5,2501.454,309,SL,-3104.213999999945,192.78889691088398,-3297.002896910829,13
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 14:05:00,2451.7,2432.0863999999997,309,TGT,6060.602400000042,189.5144958601744,5871.0879041398675,12
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2539.1028,309,SL,-3150.9348000000205,194.9801213995288,-3345.9149213995493,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2703.9408000000003,309,SL,-3355.492799999961,204.57397465007685,-3560.0667746500376,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 14:40:00,2725.4,2714.4984,309,SL,-3368.5944000000445,205.18844500932641,-3573.782845009371,2
ADANIENT,short,2026-05-18 10:45:00,2026-05-18 10:55:00,2690.5,2701.262,309,SL,-3325.458000000053,203.791141626052,-3529.249141626105,3
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 15:15:00,2727.0,2725.5,309,TIME,-463.5,205.70735456499997,-669.207354565,14
ADANIENT,long,2026-05-22 14:15:00,2026-05-22 14:30:00,2745.5,2734.518,309,SL,-3393.437999999991,206.35361993582802,-3599.791619935819,4
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2862.72,309,TGT,7020.479999999938,213.37542152512,6807.104578474818,2
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1405.3536000000001,475,TGT,5297.960000000046,172.60321120824,5125.356788791806,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 11:55:00,1391.0,1396.564,475,SL,-2642.900000000037,171.65044508260002,-2814.550445082637,13
ADANIPORTS,long,2026-04-10 14:20:00,2026-04-10 15:15:00,1491.9,1495.3,475,TIME,1614.9999999999352,180.79664597999997,1434.2033540199352,12
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1743.996,475,SL,-3326.899999999955,203.23296072140002,-3530.132960721355,2
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:40:00,2579.7,2569.3812,250,SL,-2579.7000000000025,168.1889773582,-2747.8889773582027,13
ASIANPAINT,long,2026-05-22 11:05:00,2026-05-22 11:15:00,2648.0,2642.5,250,OI_FLIP,-1375.0,171.57888925,-1546.57888925,3
ASIANPAINT,short,2026-05-29 14:10:00,2026-05-29 14:10:00,2665.6,2676.2624,250,SL,-2665.6000000000404,172.7193561664,-2838.3193561664402,1
AXISBANK,long,2026-04-06 10:35:00,2026-04-06 11:45:00,1226.3,1236.1104,625,TGT,6131.5000000000455,192.33318136100002,5939.166818639045,15
AXISBANK,long,2026-04-07 13:35:00,2026-04-07 15:05:00,1258.9,1268.9712000000002,625,TGT,6294.500000000056,196.191406683,6098.308593317056,19
AXISBANK,long,2026-05-22 10:15:00,2026-05-22 12:50:00,1283.7,1293.9696000000001,625,TGT,6418.500000000051,199.12649833900002,6219.373501661051,32
BAJAJ-AUTO,short,2026-04-01 11:10:00,2026-04-01 14:30:00,8955.0,8883.36,75,TGT,5372.999999999956,173.368280938,5199.631719061957,41
BAJAJ-AUTO,long,2026-04-07 13:40:00,2026-04-07 13:45:00,9003.0,9075.024,75,TGT,5401.799999999957,175.0611137692,5226.738886230757,2
BAJAJ-AUTO,short,2026-04-09 13:25:00,2026-04-09 15:15:00,9495.0,9479.5,75,TIME,1162.5,181.165026475,981.334973525,23
BAJAJ-AUTO,short,2026-04-16 10:35:00,2026-04-16 15:15:00,9795.0,9801.5,75,TIME,-487.5,185.467886575,-672.967886575,57
BAJAJ-AUTO,short,2026-04-28 11:30:00,2026-04-28 12:55:00,9520.0,9443.84,75,TGT,5711.999999999989,181.32864707200002,5530.671352927989,18
BAJAJ-AUTO,long,2026-04-30 10:45:00,2026-04-30 10:45:00,9664.0,9625.344,75,SL,-2899.2000000000644,183.1736570752,-3082.3736570752644,1
BAJAJFINSV,long,2026-04-06 13:15:00,2026-04-06 15:15:00,1695.0,1701.0,250,TIME,1500.0,127.16455600000002,1372.835444,25
BAJAJFINSV,short,2026-04-07 11:15:00,2026-04-07 11:55:00,1682.8,1689.5312,250,SL,-1682.799999999986,126.44068598320001,-1809.240685983186,9
BAJAJFINSV,long,2026-04-07 13:35:00,2026-04-07 15:15:00,1699.5,1706.1,250,TIME,1649.9999999999773,127.39825660000001,1522.6017433999773,21
BAJAJFINSV,short,2026-04-09 13:45:00,2026-04-09 15:15:00,1788.6,1785.0,250,TIME,899.9999999999773,131.3108296,768.6891703999772,19
BAJAJFINSV,short,2026-04-27 10:30:00,2026-04-27 10:40:00,1787.8,1794.9512,250,SL,-1787.8000000000043,131.38498835320001,-1919.1849883532043,3
BAJAJFINSV,short,2026-04-30 14:30:00,2026-04-30 14:35:00,1746.5,1753.486,250,SL,-1746.500000000026,129.440229421,-1875.9402294210258,2
BAJAJFINSV,short,2026-05-14 13:45:00,2026-05-14 14:30:00,1743.4,1750.3736000000001,250,SL,-1743.4000000000083,129.2942547796,-1872.6942547796084,10
BAJAJFINSV,long,2026-05-21 10:05:00,2026-05-21 10:20:00,1785.9,1778.7564,250,SL,-1785.9000000000265,130.9594350754,-1916.8594350754265,4
BAJFINANCE,short,2026-04-01 13:50:00,2026-04-01 14:40:00,834.15,827.4768,750,TGT,5004.899999999963,164.72459133939998,4840.175408660563,11
BAJFINANCE,short,2026-04-27 10:35:00,2026-04-27 10:40:00,915.8,919.4631999999999,750,SL,-2747.3999999999705,176.5712031556,-2923.9712031555705,2
BHARTIARTL,short,2026-04-01 13:50:00,2026-04-01 15:15:00,1813.7,1811.0,475,TIME,1282.5000000000216,209.272029105,1073.2279708950216,18
BHARTIARTL,short,2026-04-08 10:00:00,2026-04-08 15:15:00,1890.0,1887.8,475,TIME,1045.0000000000216,216.10231127,828.8976887300216,64
BHARTIARTL,long,2026-06-19 14:20:00,2026-06-19 14:25:00,1913.4,1905.7464,475,SL,-3635.460000000046,217.70454999676002,-3853.164549996806,2
BHARTIARTL,long,2026-06-24 11:15:00,2026-06-24 11:25:00,1895.3,1891.0,475,OI_FLIP,-2042.4999999999784,216.320122045,-2258.8201220449782,3
CIPLA,short,2026-04-23 10:45:00,2026-04-23 10:50:00,1280.7,1285.8228000000001,375,SL,-1921.0500000000366,137.6595435037,-2058.7095435037368,2
CIPLA,short,2026-04-29 13:40:00,2026-04-29 15:15:00,1324.7,1324.9,375,TIME,-75.00000000001705,140.6878609,-215.68786090001706,20
CIPLA,short,2026-05-08 11:35:00,2026-05-08 12:15:00,1357.4,1346.5408,375,TGT,4072.200000000038,142.82301761320002,3929.376982386838,9
CIPLA,short,2026-05-13 11:30:00,2026-05-13 11:45:00,1298.3,1303.4932,375,SL,-1947.449999999975,138.90268238529998,-2086.352682385275,4
CIPLA,long,2026-05-21 10:20:00,2026-05-21 11:45:00,1405.8,1400.1768,375,SL,-2108.699999999999,146.09888613220002,-2254.7988861321987,18
CIPLA,long,2026-06-25 13:10:00,2026-06-25 13:25:00,1444.3,1445.5,375,OI_FLIP,450.00000000001705,149.19094045,300.8090595500171,4
COALINDIA,short,2026-04-10 13:30:00,2026-04-10 13:35:00,429.15,430.8666,1350,SL,-2317.410000000038,156.32357862153998,-2473.733578621578,2
COALINDIA,short,2026-05-07 13:10:00,2026-05-07 13:10:00,458.5,460.334,1350,SL,-2475.900000000004,163.7866498846,-2639.6866498846043,1
COALINDIA,short,2026-05-14 14:35:00,2026-05-14 14:35:00,458.5,454.832,1350,TGT,4951.800000000008,163.4777021308,4788.322297869208,1
COALINDIA,long,2026-05-26 10:55:00,2026-05-26 11:45:00,475.5,473.598,1350,SL,-2567.699999999982,167.6261724862,-2735.3261724861823,11
COALINDIA,long,2026-05-27 14:35:00,2026-05-27 14:40:00,453.35,456.9768,1350,TGT,4896.180000000004,163.09304084092003,4733.086959159084,2
COALINDIA,long,2026-06-01 11:35:00,2026-06-01 11:35:00,480.05,478.1298,1350,SL,-2592.2700000000304,168.77851546162,-2761.0485154616504,1
COALINDIA,long,2026-06-02 11:50:00,2026-06-02 11:55:00,475.05,473.15,1350,OI_FLIP,-2565.000000000046,167.51224408,-2732.512244080046,2
COALINDIA,long,2026-06-04 10:55:00,2026-06-04 11:25:00,480.75,484.596,1350,TGT,5192.100000000005,170.0974950574,5022.002504942605,7
COALINDIA,long,2026-06-12 14:05:00,2026-06-12 15:15:00,446.6,446.3,1350,TIME,-405.00000000001535,160.60105651,-565.6010565100154,15
DIVISLAB,short,2026-04-01 13:20:00,2026-04-01 13:25:00,6000.0,5952.0,100,TGT,4800.0,159.91314880000002,4640.0868512,2
DIVISLAB,long,2026-04-06 13:30:00,2026-04-06 15:15:00,5920.0,5898.0,100,TIME,-2200.0,158.2847892,-2358.2847892,22
DIVISLAB,long,2026-04-16 13:35:00,2026-04-16 14:35:00,6354.0,6352.0,100,OI_FLIP,-200.0,166.7453364,-366.74533640000004,13
DIVISLAB,short,2026-04-23 11:50:00,2026-04-23 12:00:00,6399.0,6424.5960000000005,100,SL,-2559.600000000046,167.7279652024,-2727.3279652024457,3
DIVISLAB,short,2026-05-22 10:20:00,2026-05-22 10:30:00,6845.5,6872.882,100,SL,-2738.1999999999607,176.13798809080004,-2914.3379880907605,3
DIVISLAB,long,2026-06-02 14:25:00,2026-06-02 14:35:00,6589.5,6563.142,100,SL,-2635.8000000000175,170.8200901348,-2806.6200901348175,3
DIVISLAB,short,2026-06-12 10:05:00,2026-06-12 10:15:00,6665.5,6692.162,100,SL,-2666.200000000026,172.7476093228,-2838.9476093228263,3
DLF,short,2026-04-01 13:25:00,2026-04-01 13:40:00,523.4,519.2128,825,TGT,3454.439999999968,128.31683536264,3326.123164637328,4
DLF,long,2026-04-08 13:15:00,2026-04-08 14:50:00,579.6,581.6,825,OI_FLIP,1650.0,137.42773606,1512.57226394,20
DLF,short,2026-05-21 10:40:00,2026-05-21 11:30:00,588.65,591.0046,825,SL,-1942.5450000000042,138.67171283173,-2081.216712831734,11
DLF,long,2026-06-15 11:55:00,2026-06-15 14:50:00,616.95,621.8856000000001,825,TGT,4071.870000000018,143.58154565578,3928.2884543442383,36
DLF,long,2026-06-16 10:00:00,2026-06-16 10:05:00,625.0,622.5,825,SL,-2062.5,143.932087375,-2206.432087375,2
DRREDDY,short,2026-04-01 11:55:00,2026-04-01 13:15:00,1264.0,1253.888,625,TGT,6320.00000000005,195.60564591999997,6124.39435408005,17
DRREDDY,short,2026-04-01 14:10:00,2026-04-01 14:45:00,1236.1,1226.2112,625,TGT,6180.499999999966,192.329920033,5988.170079966966,8
DRREDDY,short,2026-04-07 13:05:00,2026-04-07 13:15:00,1195.0,1199.78,625,SL,-2987.4999999999827,187.87717457500003,-3175.3771745749827,3
DRREDDY,short,2026-04-08 10:05:00,2026-04-08 15:15:00,1203.9,1204.3,625,TIME,-249.99999999991473,188.81010675,-438.8101067499147,63
DRREDDY,short,2026-04-21 10:15:00,2026-04-21 15:15:00,1222.0,1223.4,625,TIME,-875.0000000000568,190.96497975,-1065.964979750057,61
DRREDDY,long,2026-04-23 14:10:00,2026-04-23 14:25:00,1339.6,1334.2415999999998,625,SL,-3349.0000000000464,204.269459694,-3553.2694596940464,4
DRREDDY,short,2026-04-29 14:15:00,2026-04-29 14:35:00,1320.8,1326.0832,625,SL,-3302.000000000049,202.686537388,-3504.686537388049,5
DRREDDY,short,2026-05-12 14:30:00,2026-05-12 15:15:00,1270.3,1266.4,625,TIME,2437.4999999999145,196.50812487500002,2240.9918751249143,10
DRREDDY,short,2026-06-24 10:20:00,2026-06-24 10:40:00,1325.6,1330.9024,625,SL,-3314.0000000000214,203.251600516,-3517.2516005160214,5
