symbol,side,entry_ts,exit_ts,entry_price,exit_price,qty,exit_reason,gross_pnl,cost,net_pnl,bars_held
ADANIENT,long,2026-04-06 10:45:00,2026-04-06 11:10:00,1872.6,1863.2369999999999,309,SL,-2893.1670000000177,155.66774135600198,-3048.8347413560195,6
ADANIENT,long,2026-04-08 13:35:00,2026-04-08 15:15:00,2074.8,2074.5,309,TIME,-92.7000000000562,167.8362216178,-260.5362216178562,21
ADANIENT,short,2026-04-15 13:25:00,2026-04-15 14:50:00,2190.0,2184.0,309,OI_FLIP,1854.0,174.471586204,1679.528413796,18
ADANIENT,long,2026-04-17 14:20:00,2026-04-17 15:15:00,2251.0,2245.0,309,OI_FLIP,-1854.0,177.82407181600001,-2031.824071816,12
ADANIENT,long,2026-04-23 11:10:00,2026-04-23 11:15:00,2320.0,2308.4,309,SL,-3584.399999999972,181.5827619064,-3765.9827619063717,2
ADANIENT,long,2026-05-04 14:15:00,2026-05-04 15:15:00,2511.5,2507.0,309,TIME,-1390.5,193.04011710100002,-1583.540117101,13
ADANIENT,short,2026-05-12 13:10:00,2026-05-12 15:15:00,2451.7,2427.3,309,OI_FLIP,7539.599999999888,189.452978434,7350.147021565887,26
ADANIENT,long,2026-05-13 13:35:00,2026-05-13 13:45:00,2549.3,2536.5535,309,SL,-3938.6685000000607,194.864644365511,-4133.533144365571,3
ADANIENT,long,2026-05-14 11:50:00,2026-05-14 11:50:00,2714.8,2701.226,309,SL,-4194.366000000022,204.45100087219603,-4398.817000872218,1
ADANIENT,long,2026-05-14 14:35:00,2026-05-14 15:15:00,2725.4,2730.9,309,TIME,1699.5,205.93139723980005,1493.5686027602,9
ADANIENT,short,2026-05-18 10:45:00,2026-05-18 11:30:00,2690.5,2703.9525,309,SL,-4156.82249999996,203.82572140106504,-4360.648221401025,10
ADANIENT,long,2026-05-20 14:10:00,2026-05-20 15:15:00,2727.0,2725.5,309,TIME,-463.5,205.70735456499997,-669.207354565,14
ADANIENT,long,2026-05-22 14:15:00,2026-05-22 14:45:00,2745.5,2731.7725,309,SL,-4241.797499999989,206.22925552328505,-4448.026755523274,7
ADANIENT,long,2026-05-25 13:05:00,2026-05-25 13:10:00,2840.0,2874.08,309,TGT,10530.719999999978,213.89000164768,10316.829998352297,2
ADANIPORTS,long,2026-04-06 13:20:00,2026-04-06 14:15:00,1394.2,1410.9304,475,TGT,7946.9399999999605,172.99153578236002,7773.9484642176,12
ADANIPORTS,short,2026-04-07 10:55:00,2026-04-07 13:35:00,1391.0,1397.955,475,SL,-3303.6249999999654,171.67792727825,-3475.3029272782155,33
ADANIPORTS,long,2026-04-10 14:20:00,2026-04-10 15:15:00,1491.9,1495.3,475,TIME,1614.9999999999352,180.79664597999997,1434.2033540199352,12
ADANIPORTS,short,2026-04-15 13:25:00,2026-04-15 14:00:00,1520.0,1524.0,475,OI_FLIP,-1900.0,183.1507646,-2083.1507646,8
ADANIPORTS,short,2026-04-30 14:05:00,2026-04-30 14:35:00,1622.0,1630.11,475,SL,-3852.2499999999527,192.34967508649996,-4044.599675086453,7
ADANIPORTS,long,2026-05-04 11:10:00,2026-05-04 11:15:00,1751.0,1742.245,475,SL,-4158.625000000052,203.11103482675,-4361.736034826802,2
ADANIPORTS,short,2026-05-12 14:00:00,2026-05-12 15:15:00,1702.3,1700.6,475,TIME,807.5000000000216,199.333818235,608.1661817650216,16
ADANIPORTS,long,2026-05-25 10:55:00,2026-05-25 15:15:00,1809.2,1809.4,475,TIME,95.0000000000216,208.93704799000002,-113.93704798997842,53
ASIANPAINT,long,2026-04-16 10:25:00,2026-04-16 11:10:00,2440.0,2446.5,250,OI_FLIP,1625.0,162.23289524999998,1462.76710475,10
ASIANPAINT,long,2026-04-21 10:40:00,2026-04-21 11:50:00,2579.7,2566.8015,250,SL,-3224.6249999999463,168.09443522275004,-3392.7194352226966,15
ASIANPAINT,long,2026-05-22 11:05:00,2026-05-22 11:15:00,2648.0,2642.5,250,OI_FLIP,-1375.0,171.57888925,-1546.57888925,3
ASIANPAINT,short,2026-05-29 14:10:00,2026-05-29 14:10:00,2665.6,2678.9279999999994,250,SL,-3331.99999999988,172.747074408,-3504.74707440788,1
AXISBANK,long,2026-04-06 10:35:00,2026-04-06 12:20:00,1226.3,1241.0156,625,TGT,9197.249999999996,192.78260191650003,9004.467398083496,22
AXISBANK,long,2026-04-07 13:35:00,2026-04-07 15:15:00,1258.9,1267.7,625,TIME,5499.999999999972,196.07493775,5303.925062249972,21
AXISBANK,long,2026-04-08 10:50:00,2026-04-08 15:15:00,1339.2,1352.4,625,TIME,8250.00000000003,205.92275650000002,8044.077243500029,54
AXISBANK,long,2026-05-06 14:25:00,2026-05-06 15:15:00,1305.8,1314.0,625,TIME,5125.000000000028,201.53622575,4923.463774250028,11
AXISBANK,short,2026-05-14 10:50:00,2026-05-14 11:20:00,1251.5,1257.7575,625,SL,-3910.93749999996,194.560972784375,-4105.498472784335,7
AXISBANK,short,2026-05-19 13:55:00,2026-05-19 15:05:00,1246.7,1252.9334999999999,625,SL,-3895.9374999998886,193.99578487437498,-4089.9332848742633,15
AXISBANK,long,2026-05-22 10:15:00,2026-05-22 15:15:00,1283.7,1294.9,625,TIME,7000.000000000028,199.21174275,6800.788257250028,61
BAJAJ-AUTO,short,2026-04-01 11:10:00,2026-04-01 15:15:00,8955.0,8861.5,75,TIME,7012.5,173.300087575,6839.199912425,50
BAJAJ-AUTO,long,2026-04-07 13:40:00,2026-04-07 15:15:00,9003.0,9054.0,75,TIME,3825.0,174.82996435,3650.17003565,20
